,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
138,Ford Aspire 1.2 Ti-VCT Titanium,5.50 Lakh,"23,400 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats
139,Ford Aspire 1.2 Ti-VCT Ambiente,3.90 Lakh,"59,300 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats
140,Hyundai Creta 1.4 CRDi S,8.90 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2016,1396 cc,5 Seats
141,Maruti Swift Dzire LDI,4.51 Lakh,"67,000 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats
142,Honda Amaze S CVT i-VTEC,7.25 Lakh,"33,500 kms",Petrol,Automatic,1st Owner,2018,1199 cc,5 Seats
143,Hyundai Creta SX Executive,12.75 Lakh,"17,000 kms",Petrol,Manual,2nd Owner,2021,1497 cc,5 Seats
144,Volkswagen Ameo 1.5 TDI Highline AT,6.90 Lakh,"33,000 kms",Diesel,Automatic,1st Owner,2016,1498 cc,5 Seats
145,Volkswagen Polo GT TSI,6.75 Lakh,"49,000 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats
146,Hyundai Grand i10 AT Asta,5.65 Lakh,"26,000 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats
147,Hyundai Venue SX Opt iMT,10 Lakh,"14,500 kms",Petrol,Manual,1st Owner,2020,998 cc,5 Seats
148,Kia Seltos GTX Plus AT D,19.75 Lakh,"10,000 kms",Diesel,Automatic,1st Owner,2022,1493 cc,5 Seats
149,MG Hector Plus Sharp DCT,17 Lakh,"15,001 kms",Petrol,Automatic,1st Owner,2020,1451 cc,6 Seats
150,Skoda Octavia Elegance 1.8 TSI AT,9.75 Lakh,"55,000 kms",Petrol,Automatic,2nd Owner,2015,1798 cc,5 Seats
151,Toyota Corolla Altis G,6.50 Lakh,"38,000 kms",Petrol,Manual,1st Owner,2013,1798 cc,5 Seats
152,Ford Endeavour 4x4 XLT,4 Lakh,"1,10,000 kms",Diesel,Manual,2nd Owner,2005,2953 cc,7 Seats
153,Honda Amaze S AT i-Vtech,4.75 Lakh,"65,413 kms",Petrol,Automatic,1st Owner,2013,1198 cc,5 Seats
154,Honda Jazz Mode,2.80 Lakh,"45,000 kms",Petrol,Manual,2nd Owner,2009,1198 cc,5 Seats
155,Ford Figo 1.2P Trend MT,4.30 Lakh,"44,000 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats
156,Hyundai Grand i10 1.2 Kappa Magna BSIV,4.90 Lakh,"40,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
157,Ford Ecosport 1.5 Petrol Titanium AT,6.51 Lakh,"49,000 kms",Petrol,Automatic,1st Owner,2016,1496 cc,5 Seats
158,Mahindra Thar LX 4-Str Hard Top Diesel AT,17.51 Lakh,"19,000 kms",Diesel,Automatic,1st Owner,2022,2184 cc,4 Seats
159,Hyundai i20 Magna Optional 1.4 CRDi,3.91 Lakh,"56,000 kms",Diesel,Manual,2nd Owner,2013,1396 cc,5 Seats
160,Honda City 1.5 V MT,3.75 Lakh,"65,000 kms",Petrol,Manual,2nd Owner,2010,1497 cc,5 Seats
161,Toyota Etios G,4.90 Lakh,"27,680 kms",Petrol,Manual,1st Owner,2013,1496 cc,5 Seats
162,Kia Seltos GTX Plus AT D,18.25 Lakh,"27,305 kms",Diesel,Automatic,1st Owner,2021,1493 cc,5 Seats
163,BMW 3 Series 320d,33 Lakh,"10,793 kms",Diesel,Automatic,1st Owner,2019,1995 cc,5 Seats
164,BMW X3 xDrive 20d Luxury Line,56 Lakh,"12,000 kms",Diesel,Automatic,1st Owner,2020,1995 cc,5 Seats
165,MG Hector Sharp DCT,14.99 Lakh,"44,000 kms",Petrol,Automatic,1st Owner,2019,1451 cc,5 Seats
166,Kia Seltos HTK G,11.99 Lakh,"63,000 kms",Petrol,Manual,1st Owner,2020,1497 cc,5 Seats
167,Hyundai i20 Sportz Plus Diesel,6.50 Lakh,"87,000 kms",Diesel,Manual,1st Owner,2019,1396 cc,5 Seats
168,Maruti Alto LXi,1.90 Lakh,"61,000 kms",Petrol,Manual,1st Owner,2010,796 cc,5 Seats
169,Hyundai i20 Sportz Option 1.4 CRDi,6.25 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2016,1396 cc,5 Seats
170,Audi A4 2.0 TDI Multitronic,16.51 Lakh,"70,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats
171,Nissan Micra Diesel XV,2.25 Lakh,"58,000 kms",Diesel,Manual,2nd Owner,2012,1461 cc,5 Seats
172,Honda Jazz Active,1.30 Lakh,"90,000 kms",Petrol,Manual,3rd Owner,2009,1198 cc,5 Seats
173,Honda City VX MT,12.50 Lakh,"19,000 kms",Petrol,Manual,1st Owner,2022,1497 cc,5 Seats
174,Toyota Corolla Altis G AT,9.25 Lakh,"72,159 kms",Petrol,Automatic,1st Owner,2014,1798 cc,5 Seats
175,Ford Ecosport 1.5 DV5 MT Titanium,5.90 Lakh,"78,000 kms",Diesel,Manual,1st Owner,2015,1498 cc,5 Seats
176,Ford Ecosport 1.5 Diesel Titanium BSIV,6.90 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats
177,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,8.90 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats
178,Land Rover Range Rover Evoque 2.0 TD4 SE,42.50 Lakh,"56,000 kms",Diesel,Automatic,1st Owner,2018,1999 cc,5 Seats
179,Nissan Micra Diesel XV,2.90 Lakh,"73,000 kms",Diesel,Manual,1st Owner,2012,1461 cc,5 Seats
180,Hyundai Creta 1.6 VTVT S,8.90 Lakh,"28,840 kms",Petrol,Manual,1st Owner,2016,1591 cc,5 Seats
181,Maruti Swift Dzire AMT ZXI,6.90 Lakh,"51,500 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats
182,Maruti S-Presso VXI Plus AT 2019-2022,4.80 Lakh,"41,370 kms",Petrol,Automatic,1st Owner,2020,998 cc,5 Seats
183,Hyundai Creta 1.6 VTVT S,8.75 Lakh,"41,266 kms",Petrol,Manual,1st Owner,2016,1591 cc,5 Seats
184,Hyundai Verna VTVT 1.6 AT SX Option,9.90 Lakh,"31,740 kms",Petrol,Automatic,1st Owner,2018,1591 cc,5 Seats
185,Maruti Ciaz VXi Plus,6.15 Lakh,"77,876 kms",Petrol,Manual,1st Owner,2015,1373 cc,5 Seats
186,Skoda Kushaq 1.5 TSI Style,20.50 Lakh,"9,500 kms",Petrol,Manual,1st Owner,2022,1498 cc,5 Seats
187,Hyundai Grand i10 1.2 Kappa Sportz Option AT,6.25 Lakh,"28,387 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats
188,Mercedes-Benz M-Class ML 350 CDI,27 Lakh,"1,20,000 kms",Diesel,Automatic,2nd Owner,2015,2987 cc,5 Seats
189,Hyundai Grand i10 Magna,4.50 Lakh,"20,000 kms",Petrol,Manual,2nd Owner,2017,1197 cc,5 Seats
190,Mercedes-Benz C-Class Progressive C 220d,42.50 Lakh,"30,686 kms",Diesel,Automatic,1st Owner,2020,1950 cc,5 Seats
191,Tata Indica eV2 DL BSIII,1 Lakh,"1,20,000 kms",Diesel,Manual,2nd Owner,2013,1396 cc,5 Seats
192,Mahindra Bolero Power Plus SLE,6 Lakh,"1,84,000 kms",Diesel,Manual,2nd Owner,2018,1493 cc,7 Seats
193,Honda City 1.5 S AT,4 Lakh,"40,000 kms",Petrol,Automatic,1st Owner,2009,1497 cc,5 Seats
194,Maruti Ciaz Delta Diesel,6.25 Lakh,"55,000 kms",Diesel,Manual,1st Owner,2015,1248 cc,5 Seats
195,Hyundai Grand i10 1.2 Kappa Sportz Option,5.75 Lakh,"38,000 kms",Petrol,Manual,1st Owner,2019,1197 cc,5 Seats
196,Audi Q3 30 TFSI Premium FWD,23.50 Lakh,"40,000 kms",Petrol,Automatic,1st Owner,2017,1395 cc,5 Seats
197,Hyundai Santro GS zipDrive - Euro II,1.35 Lakh,"60,000 kms",Petrol,Manual,2nd Owner,2006,999 cc,5 Seats
198,Mahindra Bolero SLX,3 Lakh,"1,10,000 kms",Diesel,Manual,3rd Owner,2009,2523 cc,7 Seats
199,Maruti Swift LDI,2.10 Lakh,"1,43,000 kms",Diesel,Manual,2nd Owner,2011,1248 cc,5 Seats
200,Tata Indica Aqua 1.3 Quadrajet BSIV,1.25 Lakh,"1,10,000 kms",Diesel,Manual,3rd Owner,2012,1248 cc,5 Seats
201,Mahindra KUV 100 mFALCON D75 K4 Plus,4.75 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2017,1198 cc,6 Seats
202,Honda City i VTEC SV,5.50 Lakh,"65,000 kms",Petrol,Manual,2nd Owner,2014,1497 cc,5 Seats
203,Tata Harrier XZ Plus,17 Lakh,"50,000 kms",Diesel,Manual,1st Owner,2021,1956 cc,5 Seats
204,Tata Zest Revotron 1.2 XT,3.49 Lakh,"55,000 kms",Petrol,Manual,1st Owner,2015,1193 cc,5 Seats
205,Land Rover Discovery Sport R-Dynamic SE Diesel,70 Lakh,"19,500 kms",Diesel,Automatic,1st Owner,2021,1999 cc,7 Seats
